person_id,person_name,role,organisation_name,organisation_kind,area,start_date,end_date
122,BILIYAMINU SHINKAFI YUSUF,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
124,BITRUS B. KAZE,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
127,BOROFFICE ROBERT AJAYI,Chairman,Science & Technology Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
128,BRIGHT TAMUNO GOGO,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
129,BUKUYOLA TAOFEEK BURAIMO,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
130,BWACHA EMMANUEL,Committee Member,Local and Foreign Debts Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
130,BWACHA EMMANUEL,Vice-Chairman,Water Resources Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
132,CHARLES C. ODEDO,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
135,CHRISCATO IKECHUKWU AMEKE,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
138,CHRISTOPHER OMOWORARE BABAJIDE,Chairman,Rules & Business Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
141,CHUDI PATRICK UWAZURIKE,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
145,CHUKWUMERIJE UCHE,Chairman,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
147,DAHIRU UMARU,Chairman,"Judiciary, Human Rights and Legal Matters Committee (Senate)",Legislative Committee - Senate,,"",2015-05-29
148,DAKUKU ADOL PETERSIDE,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
148,DAKUKU ADOL PETERSIDE,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
155,DARIYE JOSHUA CHIBI,Chairman,Solid Minerals Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
155,DARIYE JOSHUA CHIBI,Vice-Chairman,Public Procurement Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
158,DEBO JEROME OLOGUNAGBA,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
159,NDUME MOHAMMED ALI,Chairman,Millennium Development Goals (MGDs) Committee,Legislative Committee - Senate,,2015-05,2015-05-29
159,NDUME MOHAMMED ALI,Vice-Chairman,Rules & Business Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
160,EDDIE MBADIWE IFEANYICHUKWU,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
160,EDDIE MBADIWE IFEANYICHUKWU,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
162,EMMANUEL BARTHOLOMEW EKON,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
163,EMMANUEL ETIM EKPENYONG,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
170,ESSIEN EKPEYONG AYI,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
171,ETOK ALOYSIUS AKPAN,Chairman,Establishment and Public Service Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
176,FAMUREWA ISRAEL AJIBOLA,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
177,FAROUK MOHAMMED LAWAN,Chairman,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
181,FORT IFEANYI DIKE,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
182,FRANCIS BUSAM ADA,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
182,FRANCIS BUSAM ADA,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
183,FRIDAY ITULAH,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
184,GALAUDU ISAH MOHAMMED,Vice-Chairman,"Banking, Insurance and Other Financial Institutions Committee (Senate)",Legislative Committee - Senate,,"",2015-05
185,GAMBO MUSA DAN-MUSA,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
186,GANNY OLUWADARE DAUDA,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
186,GANNY OLUWADARE DAUDA,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
190,GAYA KABIRU IBRAHIM,Chairman,States and Local Government Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
190,GAYA KABIRU IBRAHIM,Chairman,Works Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
192,GEMADE BARNABAS ANDYAR IYORHER,Chairman,Housing Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
192,GEMADE BARNABAS ANDYAR IYORHER,Chairman,National Planning & Economic Affairs Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
195,GOBIR IBRAHIM ABDULLAHI,Chairman,Senate Services Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
195,GOBIR IBRAHIM ABDULLAHI,Vice-Chairman,Trade and Investment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
197,GOJE MOHAMMED DANJUMA,Chairman,Appropriations Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
198,GONI BUKAR LAWA,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
199,GUMBA ADAMU IBRAHIM,Chairman,Sports Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
199,GUMBA ADAMU IBRAHIM,Committee Member,States and Local Government Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
201,GWARZO BELLO HAYATU,Committee Member,Interior Affairs Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
201,GWARZO BELLO HAYATU,Vice-Chairman,Ethics and Privileges Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
203,HALIMA HASSAN TUKUR,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
204,HAMZA DALHAT,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
204,HAMZA DALHAT,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
206,HARUNA FATAHI MUSA,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
206,HARUNA FATAHI MUSA,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
211,HASSAN KAKU EL-BADAWY,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
212,HAZEEZ BABAJIDE AKINLOYE,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
216,HUSSEIN MUDASIRU OYETUNDE,Vice-Chairman,Sports Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
218,IBRAHIM ABU,Chairman,Police Affairs Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
218,IBRAHIM ABU,Vice-Chairman,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
219,IBRAHIM ADENIYI OLAYFA,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
220,IBRAHIM BABANGIDA,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
222,IBRAHIM BELLO,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
223,IBRAHIM BUKAR ABBA,Chairman,Ecology & Climate Change Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
224,IBRAHIM KAAMUNA KHADI,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
228,IBRAHIM SHEHU GUSAU,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
230,IDRIS SANI MOHAMMED,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
233,NINGI AHMED ABDUL,Committee Member,National Identity and National Population Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
234,INI AKPAN UDOKA,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
236,IRIKA HADI A,Vice-Chairman,Millennium Development Goals (MGDs) Committee,Legislative Committee - Senate,,2015-05,""
238,ISA HASSAN MOHAMMED,Chairman,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
245,ISHAQ AHMED KANA,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
250,JERIMON SAMUEL MANWE,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
251,JERRY ALAGBASO,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
252,Jibrilla Bindow,Vice-Chairman,Defence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
254,JIMOH ADEWALE BABATUNDE,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
255,JOHN DYEGH,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
256,JOHN ENOH OWAN ENOH,Chairman,Finance Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
256,JOHN ENOH OWAN ENOH,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
259,KAKA KYARI GUJBAWU,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
260,KALGO SANI UMAR MOHAMMED,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
265,KHADIJA BUKAR IBRAHIM,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
265,KHADIJA BUKAR IBRAHIM,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
266,KHAMISU MAILANTARKI AHMED,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
267,SEKIBO GEORGE THOMPSON,Chairman,Defence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
267,SEKIBO GEORGE THOMPSON,Chairman,Interior Affairs Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
271,KURE ZAYNAB ABDULKADIR,Committee Member,Local and Foreign Debts Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
274,LAFIAGI MOHAMMED SHAABA,Chairman,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
274,LAFIAGI MOHAMMED SHAABA,Vice-Chairman,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
275,LANLEHIN OLUFEMI AKINOLA,Vice-Chairman,National Planning & Economic Affairs Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
279,LAWAN AHMAD IBRAHIM,Chairman,Defence Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
279,LAWAN AHMAD IBRAHIM,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
283,JOSHUA LIDANi MOLTOBOK,Chairman,Diaspora & Civil Societies Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
285,MACCIDO AHMAD MUHAMMAD,Committee Member,Local and Foreign Debts Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
287,MAGORO MOHAMMED,Chairman,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
287,MAGORO MOHAMMED,Committee Member,National Identity and National Population Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
289,MAKARFI AHMED M,Committee Member,"Banking, Insurance and Other Financial Institutions Committee (Senate)",Legislative Committee - Senate,,"",2015-05
291,MALLE IBRAHIM AMINU,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
292,MANAGER JAMES EBIOWOU,Chairman,Power Commitee (Senate),Legislative Committee - Senate,,2015-06,2019-06
298,MICHAEL OPEYEMI BAMIDELE,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
300,EMMANUEL PAULKER IZIBEFIEN,Chairman,Establishment and Public Service Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
306,MOHAMMED OGOSHI ONAWO,Chairman,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
306,MOHAMMED OGOSHI ONAWO,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
306,MOHAMMED OGOSHI ONAWO,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
307,MOHAMMED SHAMSIDIN ANGO ABDULLAHI,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
309,MOHAMMED TUKUR ADAMU,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
310,MOHAMMED UMARU BAGO,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
311,MOHAMMED ZAKARI,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
314,MOSHOOD ABIODUN BAKARE,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
316,MUDASHIRU KAMIL AKINLABI,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
320,MUNIR BABBA DANAGUNDI,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
320,MUNIR BABBA DANAGUNDI,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
321,MURAINA SAUBANA AJIBOLA,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
323,MUSA BABA ONWANA,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
325,MUSA SARKIN-ADAR KAFFE,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
330,NABUNKARI MOHAMMED SA'ADU,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
332,NASIRU BABALLE ILA,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
337,NDUDI GODWIN ELUMELU,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
340,NNENNA IJEOMA ELENDU-UKEJE,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
341,NOSAKHARE ISAAC OSAHON,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
342,NUHU ZAKI ABDULRAZAK,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
343,NWOKOLO ONYEMECHI VICTOR,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
345,ODUBOTE LANRE MUKAILA,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
345,ODUBOTE LANRE MUKAILA,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
350,OGBUEFI ORA OZOMGBACHI,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
351,SUNDAY OGBUOJI OJI,Committee Member,States and Local Government Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
351,SUNDAY OGBUOJI OJI,Vice-Chairman,Appropriations Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
351,SUNDAY OGBUOJI OJI,Vice-Chairman,Special Duties Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
354,OJUDU BABAFEMI,Vice-Chairman,Establishment and Public Service Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
355,OKWURU CHUKWUEMEKA TOBIAS,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
356,OLABIYI JULIUS OYEKOLA,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
359,SOLOMON GANIYU OLANREWAJU,Vice-Chairman,Inter-Parliamentary Affairs Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
360,OLUKOLU GANIYU TUNJI,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
360,OLUKOLU GANIYU TUNJI,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
361,OLUMIDE BABATUNDE OSOBA,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
361,OLUMIDE BABATUNDE OSOBA,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
363,OMO CHRISTOPHER ISU,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
364,OMOSULE ENIOTIOLORUNDA,Committee Member,National Security and Intelligence Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
365,ONAOLAPO OLUGBENGA OBADARA,Committee Member,Local and Foreign Debts Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
367,OTU PRINCE BASSEY,Chairman,"Banking, Insurance and Other Financial Institutions Committee (Senate)",Legislative Committee - Senate,,"",2015-05
368,OYETUNDE OLADIMEJI OJO,Chairman,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
368,OYETUNDE OLADIMEJI OJO,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
369,PALLY ISUMAFE OBOKHUAIME IRIASE,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
371,PEACE UZOAMAKA NNAJI,Committee Member,Housing Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
371,PEACE UZOAMAKA NNAJI,Vice-Chairman,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
372,PETER EDEH OYEMAECHI,Vice-Chairman,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
373,PETER GUMTHA BIYE,Committee Member,Environment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
374,PETER OGE ALI,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
375,PETER OHIOZOJEH AKPATASON,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
375,PETER OHIOZOJEH AKPATASON,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
376,PIUS EWHERIDO AKPOR,Committee Member,Trade and Investment Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
378,RAFIU ADEBAYO IBRAHIM,Chairman,"Banking, Insurance and Other Financial Institutions Committee (Senate)",Legislative Committee - Senate,,2015-06,2019-06
383,ROBINSON GBADEBO AJIBOYE,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
383,ROBINSON GBADEBO AJIBOYE,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
384,ROSE OKOJI OKO,Committee Member,Industry Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
384,ROSE OKOJI OKO,Vice-Chairman,Diaspora & Civil Societies Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
384,ROSE OKOJI OKO,Vice-Chairman,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
384,ROSE OKOJI OKO,Vice-Chairman,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
385,SABO MOHAMMED NAKUDU,Vice-Chairman,Trade and Investment Committee (Senate),Legislative Committee - Senate,,2015-06,2019-06
386,SADIQ ASEMA MOHAMMED,Committee Member,Communications Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
395,SANI AUWALU,Committee Member,Solid Minerals Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
400,SHEHU NICHOLAS GARBA,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
403,SHU'AIBU UMAR GALADIMA,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
405,SIMON DAVOU MWADKWON,Committee Member,Education (Basic & Secondary) Committee (Senate),Legislative Committee - Senate,,"",2015-05-29
